상권_코드_명,개업_점포_수
4.19민주묘지역 2번,9
GS강동자이아파트,18
G타워,18
KB국민은행 망원동지점,22
KB국민은행 서강지점,6
KB국민은행 종암동지점,2
KB국민은행 중화동지점,5
KC대학교,4
KT&G 북부지사,3
KT구로지사,7
KT금천빌딩(금천구시설관리공단),12
KT대방빌딩,3
KT월곡지사,6
NH농협은행 보광동지점,12
NH농협은행 상도동지점,10
Sh수협은행 오금동금융센터(아랫말어린이공원),6
가리봉파출소,11
가산동우체국,21
가산동주민센터,15
가산디지털단지역 1번 출입구,8
가산초등학교(세일중학교),28
가양역 10번,15
가오리역 1번,18
가오리역 2번,8
가인초등학교,9
가좌역 2번,14
가좌역 3번,7
간데메공원,29
갈산공원,4
갈현건영아파트,6
강남구보훈회관,8
강남구청역 2번,4
강남구청역 4번,12
강남세브란스병원미래의학연구센터,7
강동구립 천호도서관,21
강동구립성내도서관,30
강동구청(강동구청역 2번),6
강동성심병원,6
강동역 4번(강풀만화거리),62
강북구청,20
강북문화예술회관,13
강북문화정보도서관,2
강북중학교,14
강서고등학교,23
강서구다솔마을,21
강서구청가양동별관,4
강서구청옆,11
강서새말어린이공원,3
강일동주민센터,16
개미어린이공원,3
개봉1동주민센터,41
개봉3동주민센터,7
개봉역,20
개봉중학교,17
개봉초등학교,9
개웅초등학교(개웅중학교),10
개포고등학교,22
개포지구대옆,7
개포지하차도 북측,0
개화산역 1번,14
거여역 1번(거여공원),19
거여역 8번,1
거여초등학교,6
건대입구역 1번,9
건대입구역 6번,72
경기대학교,5
경동고등학교,20
경리단길남측,41
경리단길북측,59
경문고등학교(동작동성당),7
경복고등학교,6
경성고등학교,48
경수초등학교,58
경신고등학교,9
경의선책거리,83
경의중앙 신촌역,8
경찰병원역 3번,7
경찰병원역 4번(건너말공원),4
경춘선숲길 우측,33
경향신문사,8
경희대삼거리,35
경희대후문,5
계남근린공원,7
계상초등학교,19
고대앞사거리,8
고덕동성당,23
고덕중학교(고덕2동주민센터),24
고려대역 4번,8
고려대역 6번,29
고산초등학교,4
고척동성당,8
고척중학교,0
고척초등학교,13
곰달래도서관,13
공군호텔,17
공덕동주민센터,14
공덕래미안3차아파트,5
공릉동 국수거리,44
공릉역 2번,22
공항고등학교,8
공항시장역 1번,14
공항시장역 3번,18
관성묘,0
관악구 중앙길,53
관악구신사동주민센터,47
관악동부센트레빌아파트(은천로35라길),2
관악소방서(문영여고),1
관악우성아파트,6
관악해태어린이공원,11
광나루역 1번,8
광산사거리,11
광운대역 1번,16
광운대학교 남단,5
광진경찰서,4
광진구청,12
광진정말공원,27
광진정보도서관,22
광진초등학교,25
광흥창역 1번,9
광흥창역 6번,6
구남초등학교,4
구로119안전센터,12
구로4동주민센터,47
구로구민회관,10
구로나눔길,18
구로디지털단지역 4번,40
구로보건소,49
구로세무서,1
구로창업지원센터,7
구로초등학교,33
구립대학경로당(관악산샘말공원),77
구반포역,6
구산보건지소,36
구산역 1번,39
구산역 2번,15
구산역 4번,40
구산초등학교,5
구세군강북종합사회복지관,1
구암초등학교,15
구의1동주민센터,37
구의역 4번,50
국기원,5
국립4.19민주묘지,1
국립국악고등학교,8
국립재활원,3
국립정신건강센터,28
국민대학교앞,11
국민은행방학지점,4
국악고교사거리,16
국제신학대학원대학교(남서울중학교),10
군자역 4번,14
군자역 5번,19
군자초등학교,4
굽은다리역 1번(십자성마을),29
굽은다리역 2번,16
굽은다리역 3번,16
굽은다리역 4번,46
그라운드 고척,22
금강수목원아파트,4
금동어린이공원,9
금북초등학교,3
금빛새마을금고본점,11
금산초등학교(금천고등학교),12
금천구립가산도서관,7
금천구청역 1번 출입구,20
금천금빛공원(은행나무사거리서측),11
금천세무서,3
금천어울림복지센터,4
금천철쭉어린이공원(금하마을),8
금천파출소,2
금천해태공원,17
금호사거리,6
금호삼성래미안아파트,15
길동신동아아파트,0
길동주민센터(강동도서관),51
길상사,3
길음역 10번,0
길음역 7번,6
길음역 8번,18
까치산역 1번,28
까치산역 3번,50
까치산역 4번,42
낙성대역 1번(관악구민 종합체육센터),21
낙성대역 5번(관악중학교),6
난곡중학교,17
난곡초등학교(난곡동벽화마을),7
난우중학교,12
난우초등학교,15
난향초등학교,9
남가좌동현대아파트,9
남가좌파출소,23
남강고등학교(남강중학교),29
남구로역 2번,29
남구로역 3번,39
남구로역 5번,34
남부초등학교,26
남부터미널역 1번,21
남산골공원옆,6
남산케이블카,7
남성역 1번,30
남영역 1번,36
남정초등학교,2
남천초등학교,30
남태령역(서울전자고등학교),2
내를건너서숲으로도서관,6
내방역 1번,4
내방역 4번,14
내방역 5번,4
내방역 6번,3
내방역 8번,7
노량진역 6번,15
노량진초등학교,3
노원 을지대학교병원,2
노원역 9번,6
노원초등학교,13
녹번동근린공원,12
논현2동주민센터,47
논현로18길,1
논현목련공원,1
논현역 7번,0
논현초등학교,52
누원고등학교,16
능동우편취급국,27
다산성곽길,4
달마을공원,15
답십리 장령당공원,3
답십리공원,7
답십리사거리,20
답십리역 6번,1
답십리초등학교,29
당고개역 2번,9
당고개역 5번,3
당곡중학교,35
당산반도유보라팰리스아파트,16
당산역 13번,1
당산역 8번,1
대광초등학교,8
대동초등학교,21
대림1동주민센터,9
대림갑을명가아파트,5
대림성모병원,16
대림썬프라자,6
대림역 11번,11
대림역 2번,20
대림역 5번,24
대림차이나타운(대림역 12번),6
대림한신아파트,13
대방역 3번,14
대방역 4번,0
대방역 6번,7
대신고등학교,3
대왕초등학교(세곡동사거리서남측),8
대원고등학교,6
대진고등학교,11
대청초등학교,39
대치2동주민센터,7
대치동아우편취급국,11
대현산장미원,1
대흥동주민센터,6
대흥역 2번,29
대흥역 3번,33
더케이호텔(양재리본타워2단지아파트),3
덕산중학교,5
덕성여대시반거리,5
덕수교,6
덕의초등학교,12
도곡2동주민센터(대치중학교),1
도곡초등학교,45
도림2동유수지내체육시설,5
도림동주민센터,5
도림초등학교,7
도봉구 정병원,20
도봉구민회관,6
도봉구보건소,35
도봉산역 1번,8
도봉산입구,36
도봉세무서,16
도봉역 2번,22
도봉역 3번,10
도봉우체국,4
도산공원북측,8
도신초등학교,5
독립문역 1번,7
독산119안전센터,23
독산2동주민센터,20
독산동성당,30
독산동정훈단지,19
독산역 1번 출입구,9
돈의문센트레빌아파트입구,5
돌곶이역 1번,16
돌곶이역 3번,2
돌곶이역 5번,11
돌곶이역 8번,13
동교초등학교,34
동구여중,2
동대문경찰서,4
동대문구청,8
동대문역 1번,8
동대문역 3번,2
동대문역사문화공원역 5번,10
동대문중앙새마을금고본점,4
동대부고,22
동대부여고,17
동덕여대,1
동묘앞역 2번,12
동묘앞역 3번,10
동의보감타워,4
동의초등학교,3
동일여자고등학교,10
동작구자원봉사센터,4
두산초등학교,3
둔촌2동주민센터,15
둔촌고등학교(둔촌중학교),4
둔촌동역 1번(한산중학교),31
둔촌동역 3번(성내3동주민센터),21
둔촌동역 4번,22
둔촌푸르지오아파트,3
등촌1동주민센터,28
등촌3동주민센터,66
등촌역 1번,4
등촌역 4번,12
등촌역 7번,5
떡전교사거리,15
뚝섬역교차로,20
뚝섬유원지역 1번,0
뜸부기어린이공원,19
러스크서울병원,25
리움미술관,14
마장역 2번,13
마장역 3번,7
마장지하차도,4
마천1치안센터,3
마천공원,5
마천역(마천초등학교),38
마포FM,13
마포경찰서,3
마포구청역 1번,33
마포구청역 4번,16
마포구청역 7번,33
마포역 4번,4
만리재,10
말미고개,16
망리단길,151
망우3동주민센터,8
망우본동주민센터,22
망우역 1번,12
망우역 2번,25
망원나들목체육관,6
망원역 1번,23
매봉역 1번,6
먹골역 1번,29
먹골역 5번,32
먹골파출소,2
메가박스 상봉,29
메디힐병원,16
면동초등학교,14
면목2동체육관,28
면목5동주민센터,16
면목동우체국,20
면목역 1번,18
면목역 2번,41
면목역 3번,18
명일역 1번,6
명지대학교,47
명지대학교교회,37
명지전문대,2
모래내우체국,29
목4동주민센터,7
목동로데오거리,14
목동문화체육센터,6
목동보건지소,37
목동센트럴아이파크앞,16
목동역 5번,7
묘곡초등학교(고덕아이파크아파트),34
무너미어린이공원,9
문래동남성맨션,5
문래동사거리,4
문래소공원,2
문래역 3번,5
문래예술촌(문래창작촌),80
문래중학교,6
문성초등학교,37
문이교,1
문정동성당,6
문정역 1번,16
문정역 2번,29
문정초등학교,36
문현중학교(장지역 1번),25
미근동,3
미림여고,7
미성동주민센터,13
미성초등학교,18
미아사거리역 3번,4
미아역 5번,12
미아역 8번,18
미아초등학교,8
바우뫼공원,7
반포4동주민센터(몽마르뜨공원),8
발바닥공원,5
발산역 5번,17
방배노인종합복지관(이수중학교),9
방배동사이길,5
방배배수지체육공원,1
방배아이파크아파트,18
방배역 1번,1
방배역 2번(백석예술대학교),0
방배역 3번,10
방배초등학교,33
방아다리근린공원(횃불트리니티신학대학원대학교),1
방이동고분군(방산고등학교),20
방이역 1번,19
방이역 2번,16
방이역 4번,61
방학1동주민센터,56
방학역 1번,50
방학역 2번,22
방학중학교,25
방학초등학교,29
방현초등학교(방배119안전센터),8
방화역 1번,7
방화역 2번,13
방화역 3번,11
방화초등학교,7
배꽃어린이공원,0
배문고등학교,22
배화여자대학교(박노수미술관),28
백련산해모로아파트,20
백산초등학교,9
백석중학교,5
버티고개,4
번동주공2단지,2
벌말어린이공원,11
법제교육센터(버들어린이공원),16
베르사이유1아파트,3
보라매동주민센터(당곡고등학교),8
보라매역 2번,15
보라매역 4번,5
보라매역 6번,22
보문역 4번,20
보문역 5번,25
보문역 8번,12
보인중학교,21
본마을노인복지센터(서초구립내곡도서관),1
봉원사,0
봉은사역 4번,4
봉천역 1번(관악초등학교),13
봉천역 4번(봉천110안전센터),15
봉천역 6번,8
부암동주민센터,5
북가좌2동주민센터,21
북가좌초등학교,13
북정마을,1
북한산보국문역 1번,3
북한산보국문역 2번,9
북한산우이역 2번,11
불광역 3번,11
불광역 7번,25
불광역 8번,9
불광중학교,3
사가정역 1번,37
사가정역 4번,23
사근동살곶이상점가,9
사당5동주민센터,8
사당역 10번,55
사당역 4번,39
사당종합체육관,3
사직공원(한국사회과학도서관),5
삼각산119안전센터,3
삼각지역 14번,3
삼각지역 3번,9
삼광초등학교,5
삼선동주민센터,33
삼선중학교,19
삼성산자연공원(서울금천초등학교),23
삼성전자서울R&D(서울우면초등학교),9
삼성중앙역 5번,4
삼성중앙역 7번,4
삼양사거리역 1번,6
삼양사거리역 2번,10
삼양입구사거리,14
삼육보건대학교,29
삼전역 1번,57
삼전역 3번,20
삼전역 4번,45
상계2동주민센터,32
상계3동4동주민센터,5
상계5동주민센터,35
상계역,55
상계제일중학교,4
상계초등학교,26
상도1동주민센터앞,6
상도4동주민센터,9
상도역 1번,6
상도역 2번,14
상도역 5번,27
상도초등학교,5
상봉역 3번,51
상봉역 4번,31
상봉역 7번,12
상수역 3번,8
상수역 4번,14
상신초등학교입구,7
상왕십리역 3번,21
상왕십리역 6번,13
상월곡역 1번,18
상월곡역 2번,4
상월곡역 3번,3
상일여고(상일초등학교),41
새남터성지,9
새절역 2번,7
새절역 3번,16
새터산,16
샘말어린이공원,12
샤로수길,67
서강대역 1번,33
서강대학교,7
서경대학교,17
서대문구보건소별관,9
서대문구청,2
서대문소방서,4
서대문우체국,5
서래초등학교,5
서문여고,3
서빙고동주민센터,6
서빙고역 1번,3
서서울호수공원,12
서연중학교,22
서울공연예술고등학교,5
서울과학기술대,8
서울교통공사,2
서울국제고등학교,14
서울금융고등학교,6
서울나래학교(염곡어린이공원),1
서울대병원,11
서울대입구역 8번,24
서울독일학교,8
서울북부고용노동지청,7
서울산업정보학교(서울삼성초등학교),5
서울서부지방법원,27
서울숲역 1번,6
서울숲카페거리,36
서울시립대,12
서울시립영등포장애인복지관,0
서울시인재개발원,3
서울여자간호대학교,16
서울역 12번,27
서울역 15번,13
서울지방병무청,14
서울축산농협 독산역지점(독산파출소),15
서울프랑스학교,4
서원동주민센터(신관중학교),6
서일대학교,28
서초동성당,8
서초소방서,6
서초우방유쉘아파트,3
서초중학교,13
석계역 1번,25
석계역 2번,16
석계역 7번,20
석관고등학교,4
석관중앙교회,10
석수역 1번 출입구,2
석촌고분역 1번,31
석촌고분역 3번,26
석촌고분역 4번,20
석촌역 3번,36
석촌역 6번,27
석촌역 7번,37
석촌중학교(방이육교),6
선사초등학교,0
선유도역 1번,50
선유도역 6번,21
선일여고,31
선정릉역 4번,13
선정중학교,12
성곡미술관,17
성균관대학교,18
성남고등학교,28
성내중학교,10
성내천어린이공원(하니사랑길),11
성동구립금호도서관,4
성동구보건소,7
성동세무서,6
성동초등학교,8
성미산체육관,12
성북초등학교앞,6
성산중학교,42
성서초등학교,18
성수119안전센터,27
성수1가1동주민센터,19
성수2가3동주민센터,22
성수동카페거리,70
성수초등학교,63
성신여대운정그린캠퍼스,39
성신여대입구역 1번,14
성신여대입구역 4번,9
성신여대입구역 7번,15
성심여자고등학교,22
성원어린이공원,32
성원중학교,36
성자초등학교,21
세검정,8
세검정초등학교,8
세곡초등학교,26
세명컴퓨터고등학교,6
세종대왕기념관교차로,3
세종대학교,6
세화어린이공원,0
솔밭공원역 1번,4
솔밭공원역 2번,19
솔숲어린이공원,1
송정역 2번,5
송정역 3번,32
송정역 4번,4
송정체육공원,17
송중동주민센터,13
송중초등학교,27
송천동주민센터,5
송천초등학교,8
송파나루역 1번(송리단길),75
송파나루역 2번,20
송파나루역 3번,7
송파역 2번,9
송파책박물관,8
수궁동주민센터,12
수락산디자인거리,36
수락산역 4번,45
수색성당,12
수색역 1번,0
수송초등학교,38
수유1동주민센터,17
수유동우체국,11
수유북부시장옆,13
수유시장옆,12
수유역 2번,22
수유초등학교,20
수족관거리,2
숙대입구,59
숙대입구역 1번,9
숭곡초등학교,30
숭실대입구역 1번,25
숭실대입구역 4번,20
시립대앞사거리,7
시립서북병원,28
시조사삼거리,5
시흥3동 우편취급국,18
시흥4동주민센터(서울신흥초등학교),11
시흥동 은행나무사거리,19
시흥초등학교(시흥1동우체국),15
신곡초등학교,15
신광명마을,3
신구중학교,4
신금호역 4번,7
신길2동우편취급국,7
신길3동주민센터,15
신길6동주민센터,13
신길대성유니드아파트,3
신길동홍어거리,6
신길새마을금고신길4동지점,8
신길역 1번,1
신길역 3번,9
신내1동주민센터,28
신내IC북측,3
신내역 1번,3
신내역 2번,13
신당역 3번,29
신대림초등학교,4
신대방삼거리역 1번,12
신대방삼거리역 3번,4
신대방삼거리역 4번(대림초등학교),1
신대방역 1번,10
신대방역 2번,30
신대방역 3번,0
신대방역 4번,27
신림역 1번,4
"신림역 5번(신림동주민센터, 신림동별빛거리)",34
신림역 8번,20
신림우방아파트,11
신림주공2단지(광신고등학교),0
신림초등학교,6
신림현대아파트,8
신목동역,5
신묵초등학교,25
신방화역 2번,46
신방화역 8번,10
신사1동주민센터,25
신사은행나무공원,16
신서초등학교,21
신설동역 12번,10
신설동역 9번,17
신성초등학교,28
신수동주민센터,6
신우어린이공원,1
신원동주민센터,22
신월1동우편취급국,24
신월1동주민센터,25
신월1파출소,16
신월2동주민센터,13
신월3동주민센터,24
신월4동주민센터,21
신월7동주민센터,10
신월문화체육센터,17
신월시영아파트중문,7
신월중학교,17
신자초등학교,9
신정2동주민센터,41
신정네거리역 2번,7
신정네거리역 4번,2
신정롯데캐슬아파트,31
신정역 1번,12
신정역 5번,24
신중초등학교,6
신진과학기술고등학교,15
신창초등학교,40
신촌역 6번,5
신풍역 1번,18
신풍역 2번,11
신풍역 3번,5
신풍역 6번(신길6동공영주차장),0
신한은행 방학동지점,15
신한은행 신월동지점,20
싸리고개근린공원,3
쌍문2동우체국,20
쌍문역1번(쌍리단길),17
쌍문초등학교,11
아래방죽마을공원(율현초등학교),9
아차산역 1번,24
아차산역 5번,5
아카데미하우스,3
아현역 1번,2
아현역 2번,6
아현역 4번,6
안암역 2번,17
안암역 3번,36
암사동성당(효정하나플러스아파트),25
암사역 1번,31
암사역 2번(서울강동초등학교),44
암사역 3번(천호동자전거거리),27
암사역 4번(삼성광나루아파트),3
애오개역 3번,6
약수역 7번,17
양목초등학교,5
양원초등학교,9
양재근린공원(양재2동주민센터),2
양재역 8번(양재동우체국),36
양지어린이공원,21
양천향교역 2번,9
양천향교역 5번,38
양천향교역 7번,67
양평역 2번,16
양화대교북단,9
양화초등학교,15
어린이대공원역 3번,16
어린이대공원역 4번,8
언남고등학교,3
언북중학교,17
언북초등학교,22
언주역 3번,17
언주역 6번,10
언주역 8번,3
언주중학교,7
역삼역 4번,7
역삼역 8번,15
역삼월드메르디앙아파트,6
역촌노인복지관,31
역촌역 2번,7
역촌역 3번,10
연가초등학교,10
연산군묘,0
연신내역 2번,12
연신내역 3번,9
연신내역 4번,31
연신내역 5번,28
연신내역 7번,19
연신내우체국,14
연신초등학교,0
연천초등학교,5
연트럴파크(연남동주민센터),40
연희대우아파트앞,34
연희세브란스병원,6
연희어린이공원,2
연희임광아파트,3
연희지하차도,5
연희초등학교,12
연희파출소,7
열정도,5
염곡동 구룡사(포이동성당),31
염리초등학교,0
염창무학아파트,7
염창역 2번,13
영동대교남단,3
영동초등학교,11
영등포구청역 2번,28
영등포구청역 6번,23
영등포동성당,1
영등포본동주민센터,3
영등포시장역 1번,7
영등포시장역 3번,2
영등포시장역 4번,9
영등포역 2번,26
영등포푸르지오아파트,16
영락고등학교,29
영서중학교,5
영신여고,24
영신초등학교,18
영천시장입구,9
예술인마을,3
예일여고,9
오거리공원,36
오금공원(오주중학교),10
오금역 4번,9
오동나무공원(송파레미니스1단지),12
오류2동버들시장,46
오류고등학교,5
오류동역 1번,6
오류동역 3번,12
오류동역 4번,3
오류지구대,8
오산고등학교,8
오산중학교,5
옥수동우편취급국,3
옥수역 6번,19
옥수터널,3
옥정중학교,4
온수역 1번,6
온수역 5번(온수산업단지),5
온수역 8번,2
왕십리역 9번,12
왕십리파출소,4
외대앞역 1번,49
외대앞역 2번,6
용강동주민센터,15
용두동신동아아파트,16
용두사거리,5
용두초등학교,0
용두희망어린이공원,10
용마문화복지센터,8
용마초등학교,25
용산구청,23
용산세무서,3
우리은행응암동지점,9
우리은행체육관,9
우면주공아파트,16
우사단길,27
우이천 계성교,19
우장산롯데캐슬아파트앞,9
우장산역 1번,14
우장산역 4번,53
우장산힐스테이트,8
원신초등학교(구세군관악영문교회),6
월계역 3번,6
월곡역 4번,0
월드순복음교회,8
윗방죽마을공원,23
유엔빌리지길,8
은곡마을(은곡마을공원),20
은광여고,0
은천초등학교(은천교앞),32
은평구청,22
은평세무서,17
은평요양병원,18
응봉산,5
응암1동주민센터,16
응암3동주민센터,9
응암동우체국,19
응암역 2번,18
응암역 3번,52
응암정보도서관,38
의릉,7
이대역 5번,11
이북5도청사,2
이수역 10번,16
이수역 5번,15
이수역 9번,12
이촌동점보아파트,7
이태원엔틱가구거리,15
이태원역 북측,8
이화달팽이길,13
인수동 우편취급국,8
인수중학교,5
인수초등학교,3
인헌고등학교(인헌중학교),15
자동차부품상가,5
자양4동주민센터,26
자양동우체국,26
자양한강도서관,29
자하문터널,10
잠실나루역,15
잠원역,2
장곡초등학교,14
장로회신학대학교,14
장석교회,3
장스여성병원,25
장승배기역 4번,27
장승배기역 5번,3
장안1동주민센터,64
장안교,2
장안근린공원,34
장안제일시장,21
장안중학교,21
장안초등학교,5
장안현대홈타운1차아파트,16
장위1동주민센터,8
장위동성당,0
장지동주민센터(한림연예예술고교),12
장충단 고개,10
장충동주민센터,8
장충초등학교,13
장평중학교,19
장훈고등학교,3
전곡마을마당공원,13
전농119안전센터,4
전농1동주민센터(전농시장),6
전농중학교,17
절두산순교성지,7
정곡초등학교,1
정독도서관,3
정릉3동주민센터,3
정릉북한산국립공원입구,5
정릉역 1번,34
정릉역 2번,4
정릉우체국,21
정원여중,4
제기동역 1번,1
제기동역 6번,36
조원동주민센터,10
종로5가역 4번,2
종암경찰서,24
종암동주민센터,27
종암아이파크2차,15
종암아이파크2차후문,0
종암중학교,8
종암초등학교,7
중계초등학교,8
중곡1동 마을마당,22
중곡1동주민센터,11
중곡3동주민센터,32
중곡4동주민센터,3
중곡어린이공원,5
중곡역 3번,21
중곡초등학교,19
중구회현체육센터(정화예술대남산캠퍼스),6
중대부중,0
중랑노인종합복지관,30
중랑역 1번,18
중랑역 2번,3
중랑역 4번,5
중암중학교,3
중앙고등학교,19
중앙대학교,22
중앙보훈병원,4
중화역 1번,19
중화역 4번,16
증산3교남측,0
증산역 1번,11
증산역 3번,13
증산역 4번,11
지향초등학교,15
창2동주민센터,33
창덕궁,21
창동역 2번,34
창동중학교,1
창신1동주민센터,12
창신역 1번,1
창신역 4번,6
천동초등학교,2
"천왕역 3번(오류2동주민센터, 서울오류남초등학교)",3
천일초등학교,0
천호1동주민센터,8
천호공원(해공체육문화센터),22
천호역 1번(천호문구완구거리),8
천호역 6번,37
천호지구대(천호동자전거거리),10
천호초등학교,3
천호태영아파트,14
청계산원터골,3
청계산입구역 2번(내곡동주민센터),5
청계천박물관,13
청구역 1번,14
청구역 3번,15
청담근린공원,4
청담역 12번,1
청담역 3번,8
청담초등학교,2
청량초등학교,7
청룡동주민센터,18
청림동주민센터(상도중학교),10
청와대사랑채,6
청운초등학교,2
체부동홍종문가옥,1
촬영소사거리,12
충무초등학교,15
충신시장옆,3
충정로역 3번,6
충정로역 6번,3
충정로역 7번,2
충정로현대아파트,8
큰굴다리,2
태릉시장 특화거리,20
태릉입구역 4번,12
텃골근린공원,20
투구봉어린이공원,4
평창동동측,1
평창동서측,18
포이초등학교(개포목련어린이공원),32
푸른동산공원,19
푸른들청소년도서관,61
풍납초등학교(풍납백제문화공원),4
하나고등학교,7
하나은행 망우동지점,14
학동근린공원,3
학동초등학교,7
한강로동땡땡거리(은행나무길),34
한강미주맨션아파트,7
한강진역 3번,29
한겨레신문사,6
한국SGI본부,29
한국교통안전공단 강남자동차검사소,5
한국상담대학원대학교,3
한국의류시험연구원,7
한국폴리텍대학서울정수캠퍼스,7
한남IC,20
한남초등학교,3
한남힐사이드아파트,10
한림대학교한강성심병원,0
한성대입구역 3번,20
한성대입구역 5번,12
한성백제역 3번,33
한양공고앞 교차로,4
한양대역 4번,3
한영중고,35
한울중학교,22
한일병원,5
한전아트센터,8
합정역 8번,49
해방촌 남동측,38
해방촌예술마을,12
해오름공원,20
행당역 2번,15
헌인가구단지,1
혜원여고,5
혜화역 1번,15
혜회동주민센터,7
호림박물관(성보고등학교),10
홍남교남측,1
홍대땡땡거리,39
홍대부속여중고앞,29
홍대부중,13
홍대입구역 3번,35
홍릉근린공원,3
홍릉시장,13
홍연시장,6
홍은종합사회복지관,12
홍은중학교,7
홍익대,8
홍익지구대,4
홍제3동주민센터,23
홍제성원아파트,0
홍제역 2번,17
홍제역 3번,7
홍제역 4번,6
홍지문,0
홍파초등학교,5
화계역 2번,2
화계중학교,2
화곡2동주민센터,39
화곡4동주민센터,19
화곡보람2차아파트,7
화곡역 2번,14
화곡역 4번,58
화곡역 5번,35
화곡초등학교,20
화랑대역 7번,13
화랑대철도공원,4
화양사거리,32
화원어린이공원,11
화원중학교,21
황학동벼룩시장,3
황학코아루아파트,5
회기역 1번,4
회기역 2번,5
회현역 1번,0
효문고등학교,0
효창공원앞역 2번,9
효창공원앞역 5번,19
효창공원앞역 6번,13
효창동주민센터,7
후암동주민센터,34
흑리단길,16
흑석2치안센터,0
